epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,23395.6,1.44733,0.81427,0.84579,0.60623,0.44929,0.46299,0.24225,1.39805,0.78136,0.84231,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,23790.6,1.43895,0.81087,0.84584,0.60798,0.45107,0.46456,0.24186,1.40354,0.78287,0.84222,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,24182.7,1.43428,0.80654,0.84519,0.61551,0.44949,0.46436,0.24345,1.39373,0.77831,0.8418,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,24569.7,1.44393,0.80997,0.84528,0.60821,0.45503,0.46735,0.24451,1.39397,0.77792,0.84049,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,24955.8,1.4281,0.8033,0.84432,0.61467,0.45252,0.46654,0.24422,1.38963,0.78059,0.84029,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,25395.1,1.43407,0.80503,0.84387,0.61352,0.45571,0.46802,0.24507,1.38994,0.77936,0.841,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,25851.1,1.42953,0.79875,0.8415,0.61024,0.45706,0.47076,0.24618,1.38934,0.77827,0.83997,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,26238.4,1.43156,0.80406,0.84318,0.61168,0.45925,0.47075,0.24659,1.38784,0.7717,0.83961,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,26657.4,1.4319,0.79843,0.84239,0.61494,0.45807,0.47224,0.24657,1.38932,0.77231,0.83939,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,27057.3,1.42114,0.79303,0.84132,0.61343,0.45554,0.46927,0.24632,1.38922,0.77278,0.84016,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,27515.2,1.41112,0.78452,0.83939,0.60665,0.46119,0.47144,0.24782,1.38501,0.77047,0.83872,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,27956.2,1.42256,0.79161,0.84138,0.61047,0.45805,0.47082,0.2475,1.38276,0.77046,0.838,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,28375.9,1.41718,0.78953,0.84177,0.61696,0.457,0.47042,0.24703,1.38792,0.77162,0.83917,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,28785.2,1.40977,0.78304,0.8394,0.61208,0.4582,0.47045,0.2469,1.38677,0.77114,0.83873,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,29185.7,1.41378,0.78357,0.83944,0.61436,0.45881,0.47111,0.24779,1.38332,0.77081,0.83836,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,29665.6,1.40962,0.77924,0.8379,0.61961,0.45873,0.47442,0.24926,1.38145,0.76527,0.83847,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,30050,1.40417,0.77776,0.83951,0.61927,0.45877,0.47371,0.24919,1.37854,0.76408,0.83881,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,30435.3,1.40325,0.77565,0.83864,0.62743,0.45515,0.47324,0.24853,1.37945,0.76392,0.83869,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,30836.9,1.39446,0.77003,0.8387,0.62131,0.45798,0.4741,0.24918,1.37544,0.76369,0.83788,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,31229.7,1.4032,0.77419,0.83695,0.625,0.45896,0.47593,0.24931,1.38024,0.76418,0.83829,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,31622,1.39482,0.77149,0.83837,0.62706,0.45794,0.47568,0.24984,1.37872,0.76296,0.83803,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,32027.1,1.39424,0.76706,0.83645,0.62987,0.45945,0.4772,0.25,1.37886,0.76228,0.83793,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,32461.8,1.3894,0.76277,0.83594,0.6326,0.45665,0.47818,0.25082,1.37782,0.76288,0.83783,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,32845.2,1.38394,0.7595,0.83531,0.63706,0.45684,0.47912,0.25127,1.37534,0.7608,0.83727,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,33292,1.37843,0.75497,0.83427,0.63003,0.45994,0.47796,0.25135,1.37623,0.76053,0.83757,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,33694.8,1.38658,0.76298,0.83586,0.62801,0.4586,0.47836,0.25147,1.37543,0.75992,0.8375,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,34086.2,1.3854,0.7573,0.83386,0.63326,0.45872,0.47926,0.25143,1.3755,0.75857,0.83751,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,34470.1,1.38152,0.75349,0.83461,0.62427,0.4636,0.47949,0.25122,1.3767,0.75922,0.83752,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,34853,1.3724,0.75116,0.8332,0.63425,0.45912,0.47972,0.25174,1.37652,0.75762,0.8371,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,35240.8,1.37102,0.74871,0.83433,0.63256,0.46172,0.48037,0.25158,1.37441,0.75647,0.83662,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,35629.2,1.3635,0.74349,0.83463,0.63051,0.46186,0.48103,0.25243,1.37363,0.75697,0.83664,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,36011,1.35622,0.74308,0.8328,0.63269,0.4624,0.48095,0.25272,1.37515,0.75743,0.83678,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,36398.8,1.36715,0.74681,0.83119,0.63536,0.46032,0.4809,0.2522,1.37473,0.7577,0.83708,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
